nb_shards,nb_requests,accuracy,retraining_time
5,0,0.4173783884144077,82.61548137664795
5,1,0.4173783884144077,16.037454843521118
5,2,0.4176011882658745,32.904112815856934
5,3,0.41732887733630397,15.965097188949583
5,4,0.4173783884144077,19.40793490409851
5,5,0.4178982547344968,32.56785225868225
5,6,0.4169822997895779,68.70977354049683
5,7,0.4181210545859636,81.0832052230835
5,8,0.4166109667038,66.55166792869568
5,9,0.41814581012501545,70.22409057617188
5,10,0.4171308330238891,81.3440351486206
5,11,0.4184923876717416,67.82618880271912
5,12,0.41876469860131205,86.26313424110413
5,13,0.41703181086768165,90.39736986160278
5,14,0.4170565664067335,92.60758423805237
5,15,0.4194578536947642,85.40748381614685
------------------------------------------
5,0,0.45515534100755045,212.99881076812744
5,1,0.45515534100755045,41.789692640304565
5,2,0.45567520732763955,83.02298593521118
5,3,0.45607129595246937,124.0392234325409
5,4,0.45522960762470605,127.242271900177
5,5,0.4492140116351033,124.83042001724243
5,6,0.44953583364277755,125.25600218772888
5,7,0.4500309444238148,126.04582929611206
5,8,0.4523084540165862,167.96475887298584
5,9,0.4587944052481743,169.43250513076782
5,10,0.45272929818046787,209.74467372894287
5,11,0.4627552914964723,210.6255979537964
5,12,0.4499071667285555,167.24716567993164
5,13,0.4569129842802327,213.2837142944336
5,14,0.4528283203366753,207.28639221191406
5,15,0.45629409580393615,174.2561070919037
------------------------------------------
5,0,0.11335561331848001,74.61918139457703
5,1,0.11335561331848001,15.50145697593689
5,2,0.09488798118579032,32.00427961349487
5,3,0.11335561331848001,49.55535006523133
5,4,0.11335561331848001,34.35672426223755
5,5,0.11335561331848001,67.96586465835571
5,6,0.11335561331848001,52.78060436248779
5,7,0.11335561331848001,81.60518670082092
5,8,0.11335561331848001,87.23524522781372
5,9,0.09488798118579032,65.80478262901306
5,10,0.09488798118579032,82.4969379901886
5,11,0.11335561331848001,63.47581505775452
5,12,0.11335561331848001,85.24219393730164
5,13,0.11335561331848001,81.2871150970459
5,14,0.09488798118579032,80.28369379043579
5,15,0.11335561331848001,85.97734928131104
------------------------------------------
5,0,0.44354499319222673,78.9478964805603
5,1,0.5132318356232207,15.65743374824524
5,2,0.5247431612823369,33.37012600898743
5,3,0.4800841688327763,50.624504804611206
5,4,0.46830053224408963,48.60798668861389
5,5,0.4461195692536205,53.962201833724976
5,6,0.5195692536204976,63.38932538032532
5,7,0.48857531872756527,54.66100764274597
5,8,0.501076865948756,70.73172616958618
5,9,0.48607500928332714,83.3389344215393
5,10,0.5078598836489665,67.91403937339783
5,11,0.44191112761480383,65.72954940795898
5,12,0.43814828567892067,84.02117204666138
5,13,0.4462433469488798,84.27525019645691
5,14,0.5123653917564055,85.27859139442444
5,15,0.47911870280975366,84.8689169883728
------------------------------------------
